ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_N_541={0x0101,0x0000} (Herrscher) setzt[0x000A]Kehrschelle ein!
ATKMSG_M_542={0x0101,0x0000} setzt[0x000A]Orkan ein!
ATKMSG_Y_542={0x0101,0x0000} (wild) setzt[0x000A]Orkan ein!
ATKMSG_E_542={0x0101,0x0000} (Gegner) setzt[0x000A]Orkan ein!
ATKMSG_N_542={0x0101,0x0000} (Herrscher) setzt[0x000A]Orkan ein!
ATKMSG_M_543={0x0101,0x0000} setzt[0x000A]Steinschädel ein!
ATKMSG_Y_543={0x0101,0x0000} (wild) setzt[0x000A]Steinschädel ein!
ATKMSG_E_543={0x0101,0x0000} (Gegner) setzt[0x000A]Steinschädel ein!
ATKMSG_N_543={0x0101,0x0000} (Herrscher) setzt[0x000A]Steinschädel ein!
ATKMSG_M_544={0x0101,0x0000} setzt[0x000A]Klikkdiskus ein!
ATKMSG_Y_544={0x0101,0x0000} (wild) setzt[0x000A]Klikkdiskus ein!
ATKMSG_E_544={0x0101,0x0000} (Gegner) setzt[0x000A]Klikkdiskus ein!
ATKMSG_N_544={0x0101,0x0000} (Herrscher) setzt[0x000A]Klikkdiskus ein!
ATKMSG_M_545={0x0101,0x0000} setzt[0x000A]Flammenball ein!
ATKMSG_Y_545={0x0101,0x0000} (wild) setzt[0x000A]Flammenball ein!
ATKMSG_E_545={0x0101,0x0000} (Gegner) setzt[0x000A]Flammenball ein!
ATKMSG_N_545={0x0101,0x0000} (Herrscher) setzt[0x000A]Flammenball ein!
ATKMSG_M_546={0x0101,0x0000} setzt[0x000A]Techblaster ein!
ATKMSG_Y_546={0x0101,0x0000} (wild) setzt[0x000A]Techblaster ein!
ATKMSG_E_546={0x0101,0x0000} (Gegner) setzt[0x000A]Techblaster ein!
ATKMSG_N_546={0x0101,0x0000} (Herrscher) setzt[0x000A]Techblaster ein!
ATKMSG_M_547={0x0101,0x0000} setzt[0x000A]Urgesang ein!
ATKMSG_Y_547={0x0101,0x0000} (wild) setzt[0x000A]Urgesang ein!
ATKMSG_E_547={0x0101,0x0000} (Gegner) setzt[0x000A]Urgesang ein!
ATKMSG_N_547={0x0101,0x0000} (Herrscher) setzt[0x000A]Urgesang ein!
ATKMSG_M_548={0x0101,0x0000} setzt[0x000A]Mystoschwert ein!
ATKMSG_Y_548={0x0101,0x0000} (wild) setzt[0x000A]Mystoschwert ein!
ATKMSG_E_548={0x0101,0x0000} (Gegner) setzt[0x000A]Mystoschwert ein!
ATKMSG_N_548={0x0101,0x0000} (Herrscher) setzt[0x000A]Mystoschwert ein!
ATKMSG_M_549={0x0101,0x0000} setzt[0x000A]Eiszeit ein!
ATKMSG_Y_549={0x0101,0x0000} (wild) setzt[0x000A]Eiszeit ein!
ATKMSG_E_549={0x0101,0x0000} (Gegner) setzt[0x000A]Eiszeit ein!
ATKMSG_N_549={0x0101,0x0000} (Herrscher) setzt[0x000A]Eiszeit ein!
ATKMSG_M_550={0x0101,0x0000} setzt[0x000A]Blitzschlag ein!
ATKMSG_Y_550={0x0101,0x0000} (wild) setzt[0x000A]Blitzschlag ein!
ATKMSG_E_550={0x0101,0x0000} (Gegner) setzt[0x000A]Blitzschlag ein!
ATKMSG_N_550={0x0101,0x0000} (Herrscher) setzt[0x000A]Blitzschlag ein!
ATKMSG_M_551={0x0101,0x0000} setzt[0x000A]Blauflammen ein!
ATKMSG_Y_551={0x0101,0x0000} (wild) setzt[0x000A]Blauflammen ein!
ATKMSG_E_551={0x0101,0x0000} (Gegner) setzt[0x000A]Blauflammen ein!
ATKMSG_N_551={0x0101,0x0000} (Herrscher) setzt[0x000A]Blauflammen ein!
ATKMSG_M_552={0x0101,0x0000} setzt[0x000A]Feuerreigen ein!
ATKMSG_Y_552={0x0101,0x0000} (wild) setzt[0x000A]Feuerreigen ein!
ATKMSG_E_552={0x0101,0x0000} (Gegner) setzt[0x000A]Feuerreigen ein!
ATKMSG_N_552={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuerreigen ein!
ATKMSG_M_553={0x0101,0x0000} setzt[0x000A]Frostvolt ein!
ATKMSG_Y_553={0x0101,0x0000} (wild) setzt[0x000A]Frostvolt ein!
ATKMSG_E_553={0x0101,0x0000} (Gegner) setzt[0x000A]Frostvolt ein!
ATKMSG_N_553={0x0101,0x0000} (Herrscher) setzt[0x000A]Frostvolt ein!
ATKMSG_M_554={0x0101,0x0000} setzt[0x000A]Frosthauch ein!
ATKMSG_Y_554={0x0101,0x0000} (wild) setzt[0x000A]Frosthauch ein!
ATKMSG_E_554={0x0101,0x0000} (Gegner) setzt[0x000A]Frosthauch ein!
ATKMSG_N_554={0x0101,0x0000} (Herrscher) setzt[0x000A]Frosthauch ein!
ATKMSG_M_555={0x0101,0x0000} setzt[0x000A]Standpauke ein!
ATKMSG_Y_555={0x0101,0x0000} (wild) setzt[0x000A]Standpauke ein!
ATKMSG_E_555={0x0101,0x0000} (Gegner) setzt[0x000A]Standpauke ein!
ATKMSG_N_555={0x0101,0x0000} (Herrscher) setzt[0x000A]Standpauke ein!
ATKMSG_M_556={0x0101,0x0000} setzt[0x000A]Eiszapfhagel ein!
ATKMSG_Y_556={0x0101,0x0000} (wild) setzt[0x000A]Eiszapfhagel ein!
ATKMSG_E_556={0x0101,0x0000} (Gegner) setzt[0x000A]Eiszapfhagel ein!
ATKMSG_N_556={0x0101,0x0000} (Herrscher) setzt[0x000A]Eiszapfhagel ein!
ATKMSG_M_557={0x0101,0x0000} setzt[0x000A]V-Generator ein!
ATKMSG_Y_557={0x0101,0x0000} (wild) setzt[0x000A]V-Generator ein!
ATKMSG_E_557={0x0101,0x0000} (Gegner) setzt[0x000A]V-Generator ein!
ATKMSG_N_557={0x0101,0x0000} (Herrscher) setzt[0x000A]V-Generator ein!
ATKMSG_M_558={0x0101,0x0000} setzt[0x000A]Kreuzflamme ein!
ATKMSG_Y_558={0x0101,0x0000} (wild) setzt[0x000A]Kreuzflamme ein!
ATKMSG_E_558={0x0101,0x0000} (Gegner) setzt[0x000A]Kreuzflamme ein!
ATKMSG_N_558={0x0101,0x0000} (Herrscher) setzt[0x000A]Kreuzflamme ein!
ATKMSG_M_559={0x0101,0x0000} setzt[0x000A]Kreuzdonner ein!
ATKMSG_Y_559={0x0101,0x0000} (wild) setzt[0x000A]Kreuzdonner ein!
ATKMSG_E_559={0x0101,0x0000} (Gegner) setzt[0x000A]Kreuzdonner ein!
ATKMSG_N_559={0x0101,0x0000} (Herrscher) setzt[0x000A]Kreuzdonner ein!
ATKMSG_M_560={0x0101,0x0000} setzt[0x000A]Flying Press ein!
ATKMSG_Y_560={0x0101,0x0000} (wild) setzt[0x000A]Flying Press ein!
ATKMSG_E_560={0x0101,0x0000} (Gegner) setzt[0x000A]Flying Press ein!
ATKMSG_N_560={0x0101,0x0000} (Herrscher) setzt[0x000A]Flying Press ein!
ATKMSG_M_561={0x0101,0x0000} setzt[0x000A]Tatami-Schild ein!
ATKMSG_Y_561={0x0101,0x0000} (wild) setzt[0x000A]Tatami-Schild ein!
ATKMSG_E_561={0x0101,0x0000} (Gegner) setzt[0x000A]Tatami-Schild ein!
ATKMSG_N_561={0x0101,0x0000} (Herrscher) setzt[0x000A]Tatami-Schild ein!
ATKMSG_M_562={0x0101,0x0000} setzt[0x000A]Rülpser ein!
ATKMSG_Y_562={0x0101,0x0000} (wild) setzt[0x000A]Rülpser ein!
ATKMSG_E_562={0x0101,0x0000} (Gegner) setzt[0x000A]Rülpser ein!
ATKMSG_N_562={0x0101,0x0000} (Herrscher) setzt[0x000A]Rülpser ein!
ATKMSG_M_563={0x0101,0x0000} setzt[0x000A]Pflüger ein!
ATKMSG_Y_563={0x0101,0x0000} (wild) setzt[0x000A]Pflüger ein!
ATKMSG_E_563={0x0101,0x0000} (Gegner) setzt[0x000A]Pflüger ein!
ATKMSG_N_563={0x0101,0x0000} (Herrscher) setzt[0x000A]Pflüger ein!
ATKMSG_M_564={0x0101,0x0000} setzt[0x000A]Klebenetz ein!
ATKMSG_Y_564={0x0101,0x0000} (wild) setzt[0x000A]Klebenetz ein!
ATKMSG_E_564={0x0101,0x0000} (Gegner) setzt[0x000A]Klebenetz ein!
ATKMSG_N_564={0x0101,0x0000} (Herrscher) setzt[0x000A]Klebenetz ein!
ATKMSG_M_565={0x0101,0x0000} setzt[0x000A]Stachelfinale ein!
ATKMSG_Y_565={0x0101,0x0000} (wild) setzt[0x000A]Stachelfinale ein!
ATKMSG_E_565={0x0101,0x0000} (Gegner) setzt[0x000A]Stachelfinale ein!
ATKMSG_N_565={0x0101,0x0000} (Herrscher) setzt[0x000A]Stachelfinale ein!
ATKMSG_M_566={0x0101,0x0000} setzt[0x000A]Phantomkraft ein!
ATKMSG_Y_566={0x0101,0x0000} (wild) setzt[0x000A]Phantomkraft ein!
ATKMSG_E_566={0x0101,0x0000} (Gegner) setzt[0x000A]Phantomkraft ein!
ATKMSG_N_566={0x0101,0x0000} (Herrscher) setzt[0x000A]Phantomkraft ein!
ATKMSG_M_567={0x0101,0x0000} setzt[0x000A]Halloween ein!
ATKMSG_Y_567={0x0101,0x0000} (wild) setzt[0x000A]Halloween ein!
ATKMSG_E_567={0x0101,0x0000} (Gegner) setzt[0x000A]Halloween ein!
ATKMSG_N_567={0x0101,0x0000} (Herrscher) setzt[0x000A]Halloween ein!
ATKMSG_M_568={0x0101,0x0000} setzt[0x000A]Kampfgebrüll ein!
ATKMSG_Y_568={0x0101,0x0000} (wild) setzt[0x000A]Kampfgebrüll ein!
ATKMSG_E_568={0x0101,0x0000} (Gegner) setzt[0x000A]Kampfgebrüll ein!
ATKMSG_N_568={0x0101,0x0000} (Herrscher) setzt[0x000A]Kampfgebrüll ein!
ATKMSG_M_569={0x0101,0x0000} setzt[0x000A]Plasmaschauer ein!
ATKMSG_Y_569={0x0101,0x0000} (wild) setzt[0x000A]Plasmaschauer ein!
ATKMSG_E_569={0x0101,0x0000} (Gegner) setzt[0x000A]Plasmaschauer ein!
ATKMSG_N_569={0x0101,0x0000} (Herrscher) setzt[0x000A]Plasmaschauer ein!
ATKMSG_M_570={0x0101,0x0000} setzt[0x000A]Parabolladung ein!
ATKMSG_Y_570={0x0101,0x0000} (wild) setzt[0x000A]Parabolladung ein!
ATKMSG_E_570={0x0101,0x0000} (Gegner) setzt[0x000A]Parabolladung ein!
ATKMSG_N_570={0x0101,0x0000} (Herrscher) setzt[0x000A]Parabolladung ein!
ATKMSG_M_571={0x0101,0x0000} setzt[0x000A]Waldesfluch ein!
ATKMSG_Y_571={0x0101,0x0000} (wild) setzt[0x000A]Waldesfluch ein!
ATKMSG_E_571={0x0101,0x0000} (Gegner) setzt[0x000A]Waldesfluch ein!
ATKMSG_N_571={0x0101,0x0000} (Herrscher) setzt[0x000A]Waldesfluch ein!
ATKMSG_M_572={0x0101,0x0000} setzt[0x000A]Blütenwirbel ein!
ATKMSG_Y_572={0x0101,0x0000} (wild) setzt[0x000A]Blütenwirbel ein!
ATKMSG_E_572={0x0101,0x0000} (Gegner) setzt[0x000A]Blütenwirbel ein!
ATKMSG_N_572={0x0101,0x0000} (Herrscher) setzt[0x000A]Blütenwirbel ein!
ATKMSG_M_573={0x0101,0x0000} setzt[0x000A]Gefriertrockner ein!
ATKMSG_Y_573={0x0101,0x0000} (wild) setzt[0x000A]Gefriertrockner ein!
ATKMSG_E_573={0x0101,0x0000} (Gegner) setzt[0x000A]Gefriertrockner ein!
ATKMSG_N_573={0x0101,0x0000} (Herrscher) setzt[0x000A]Gefriertrockner ein!
ATKMSG_M_574={0x0101,0x0000} setzt[0x000A]Säuselstimme ein!
ATKMSG_Y_574={0x0101,0x0000} (wild) setzt[0x000A]Säuselstimme ein!
ATKMSG_E_574={0x0101,0x0000} (Gegner) setzt[0x000A]Säuselstimme ein!
ATKMSG_N_574={0x0101,0x0000} (Herrscher) setzt[0x000A]Säuselstimme ein!
ATKMSG_M_575={0x0101,0x0000} setzt[0x000A]Abgangstirade ein!
ATKMSG_Y_575={0x0101,0x0000} (wild) setzt[0x000A]Abgangstirade ein!
ATKMSG_E_575={0x0101,0x0000} (Gegner) setzt[0x000A]Abgangstirade ein!
ATKMSG_N_575={0x0101,0x0000} (Herrscher) setzt[0x000A]Abgangstirade ein!
ATKMSG_M_576={0x0101,0x0000} setzt[0x000A]Invertigo ein!
ATKMSG_Y_576={0x0101,0x0000} (wild) setzt[0x000A]Invertigo ein!
ATKMSG_E_576={0x0101,0x0000} (Gegner) setzt[0x000A]Invertigo ein!
ATKMSG_N_576={0x0101,0x0000} (Herrscher) setzt[0x000A]Invertigo ein!
ATKMSG_M_577={0x0101,0x0000} setzt[0x000A]Diebeskuss ein!
ATKMSG_Y_577={0x0101,0x0000} (wild) setzt[0x000A]Diebeskuss ein!
ATKMSG_E_577={0x0101,0x0000} (Gegner) setzt[0x000A]Diebeskuss ein!
ATKMSG_N_577={0x0101,0x0000} (Herrscher) setzt[0x000A]Diebeskuss ein!
ATKMSG_M_578={0x0101,0x0000} setzt[0x000A]Trickschutz ein!
ATKMSG_Y_578={0x0101,0x0000} (wild) setzt[0x000A]Trickschutz ein!
ATKMSG_E_578={0x0101,0x0000} (Gegner) setzt[0x000A]Trickschutz ein!
ATKMSG_N_578={0x0101,0x0000} (Herrscher) setzt[0x000A]Trickschutz ein!
ATKMSG_M_579={0x0101,0x0000} setzt[0x000A]Floraschutz ein!
ATKMSG_Y_579={0x0101,0x0000} (wild) setzt[0x000A]Floraschutz ein!
ATKMSG_E_579={0x0101,0x0000} (Gegner) setzt[0x000A]Floraschutz ein!
ATKMSG_N_579={0x0101,0x0000} (Herrscher) setzt[0x000A]Floraschutz ein!
ATKMSG_M_580={0x0101,0x0000} setzt[0x000A]Grasfeld ein!
ATKMSG_Y_580={0x0101,0x0000} (wild) setzt[0x000A]Grasfeld ein!
ATKMSG_E_580={0x0101,0x0000} (Gegner) setzt[0x000A]Grasfeld ein!
ATKMSG_N_580={0x0101,0x0000} (Herrscher) setzt[0x000A]Grasfeld ein!
ATKMSG_M_581={0x0101,0x0000} setzt[0x000A]Nebelfeld ein!
ATKMSG_Y_581={0x0101,0x0000} (wild) setzt[0x000A]Nebelfeld ein!
ATKMSG_E_581={0x0101,0x0000} (Gegner) setzt[0x000A]Nebelfeld ein!
ATKMSG_N_581={0x0101,0x0000} (Herrscher) setzt[0x000A]Nebelfeld ein!
ATKMSG_M_582={0x0101,0x0000} setzt[0x000A]Elektrifizierung ein!
ATKMSG_Y_582={0x0101,0x0000} (wild) setzt[0x000A]Elektrifizierung ein!
ATKMSG_E_582={0x0101,0x0000} (Gegner) setzt[0x000A]Elektrifizierung ein!
ATKMSG_N_582={0x0101,0x0000} (Herrscher) setzt[0x000A]Elektrifizierung ein!
ATKMSG_M_583={0x0101,0x0000} setzt[0x000A]Knuddler ein!
ATKMSG_Y_583={0x0101,0x0000} (wild) setzt[0x000A]Knuddler ein!
ATKMSG_E_583={0x0101,0x0000} (Gegner) setzt[0x000A]Knuddler ein!
ATKMSG_N_583={0x0101,0x0000} (Herrscher) setzt[0x000A]Knuddler ein!
ATKMSG_M_584={0x0101,0x0000} setzt[0x000A]Feenbrise ein!
ATKMSG_Y_584={0x0101,0x0000} (wild) setzt[0x000A]Feenbrise ein!
ATKMSG_E_584={0x0101,0x0000} (Gegner) setzt[0x000A]Feenbrise ein!
ATKMSG_N_584={0x0101,0x0000} (Herrscher) setzt[0x000A]Feenbrise ein!
ATKMSG_M_585={0x0101,0x0000} setzt[0x000A]Mondgewalt ein!
ATKMSG_Y_585={0x0101,0x0000} (wild) setzt[0x000A]Mondgewalt ein!
ATKMSG_E_585={0x0101,0x0000} (Gegner) setzt[0x000A]Mondgewalt ein!
ATKMSG_N_585={0x0101,0x0000} (Herrscher) setzt[0x000A]Mondgewalt ein!
ATKMSG_M_586={0x0101,0x0000} setzt[0x000A]Überschallknall ein!
ATKMSG_Y_586={0x0101,0x0000} (wild) setzt[0x000A]Überschallknall ein!
ATKMSG_E_586={0x0101,0x0000} (Gegner) setzt[0x000A]Überschallknall ein!
ATKMSG_N_586={0x0101,0x0000} (Herrscher) setzt[0x000A]Überschallknall ein!
ATKMSG_M_587={0x0101,0x0000} setzt[0x000A]Feenschloss ein!
ATKMSG_Y_587={0x0101,0x0000} (wild) setzt[0x000A]Feenschloss ein!
ATKMSG_E_587={0x0101,0x0000} (Gegner) setzt[0x000A]Feenschloss ein!
ATKMSG_N_587={0x0101,0x0000} (Herrscher) setzt[0x000A]Feenschloss ein!
ATKMSG_M_588={0x0101,0x0000} setzt[0x000A]Königsschild ein!
ATKMSG_Y_588={0x0101,0x0000} (wild) setzt[0x000A]Königsschild ein!
ATKMSG_E_588={0x0101,0x0000} (Gegner) setzt[0x000A]Königsschild ein!
ATKMSG_N_588={0x0101,0x0000} (Herrscher) setzt[0x000A]Königsschild ein!
ATKMSG_M_589={0x0101,0x0000} setzt[0x000A]Kameradschaft ein!
ATKMSG_Y_589={0x0101,0x0000} (wild) setzt[0x000A]Kameradschaft ein!
ATKMSG_E_589={0x0101,0x0000} (Gegner) setzt[0x000A]Kameradschaft ein!
ATKMSG_N_589={0x0101,0x0000} (Herrscher) setzt[0x000A]Kameradschaft ein!
ATKMSG_M_590={0x0101,0x0000} setzt[0x000A]Vertrauenssache ein!
ATKMSG_Y_590={0x0101,0x0000} (wild) setzt[0x000A]Vertrauenssache ein!
ATKMSG_E_590={0x0101,0x0000} (Gegner) setzt[0x000A]Vertrauenssache ein!
ATKMSG_N_590={0x0101,0x0000} (Herrscher) setzt[0x000A]Vertrauenssache ein!
ATKMSG_M_591={0x0101,0x0000} setzt[0x000A]Diamantsturm ein!
ATKMSG_Y_591={0x0101,0x0000} (wild) setzt[0x000A]Diamantsturm ein!
ATKMSG_E_591={0x0101,0x0000} (Gegner) setzt[0x000A]Diamantsturm ein!
ATKMSG_N_591={0x0101,0x0000} (Herrscher) setzt[0x000A]Diamantsturm ein!
ATKMSG_M_592={0x0101,0x0000} setzt[0x000A]Dampfschwall ein!
ATKMSG_Y_592={0x0101,0x0000} (wild) setzt[0x000A]Dampfschwall ein!
ATKMSG_E_592={0x0101,0x0000} (Gegner) setzt[0x000A]Dampfschwall ein!
ATKMSG_N_592={0x0101,0x0000} (Herrscher) setzt[0x000A]Dampfschwall ein!
ATKMSG_M_593={0x0101,0x0000} setzt[0x000A]Dimensionsloch ein!
ATKMSG_Y_593={0x0101,0x0000} (wild) setzt[0x000A]Dimensionsloch ein!
ATKMSG_E_593={0x0101,0x0000} (Gegner) setzt[0x000A]Dimensionsloch ein!
ATKMSG_N_593={0x0101,0x0000} (Herrscher) setzt[0x000A]Dimensionsloch ein!
ATKMSG_M_594={0x0101,0x0000} setzt[0x000A]Wasser-Shuriken ein!
ATKMSG_Y_594={0x0101,0x0000} (wild) setzt[0x000A]Wasser-Shuriken ein!
ATKMSG_E_594={0x0101,0x0000} (Gegner) setzt[0x000A]Wasser-Shuriken ein!
ATKMSG_N_594={0x0101,0x0000} (Herrscher) setzt[0x000A]Wasser-Shuriken ein!
ATKMSG_M_595={0x0101,0x0000} setzt[0x000A]Magieflamme ein!
ATKMSG_Y_595={0x0101,0x0000} (wild) setzt[0x000A]Magieflamme ein!
ATKMSG_E_595={0x0101,0x0000} (Gegner) setzt[0x000A]Magieflamme ein!
ATKMSG_N_595={0x0101,0x0000} (Herrscher) setzt[0x000A]Magieflamme ein!
ATKMSG_M_596={0x0101,0x0000} setzt[0x000A]Schutzstacheln ein!
ATKMSG_Y_596={0x0101,0x0000} (wild) setzt[0x000A]Schutzstacheln ein!
ATKMSG_E_596={0x0101,0x0000} (Gegner) setzt[0x000A]Schutzstacheln ein!
ATKMSG_N_596={0x0101,0x0000} (Herrscher) setzt[0x000A]Schutzstacheln ein!
ATKMSG_M_597={0x0101,0x0000} setzt[0x000A]Duftwolke ein!
ATKMSG_Y_597={0x0101,0x0000} (wild) setzt[0x000A]Duftwolke ein!
ATKMSG_E_597={0x0101,0x0000} (Gegner) setzt[0x000A]Duftwolke ein!
ATKMSG_N_597={0x0101,0x0000} (Herrscher) setzt[0x000A]Duftwolke ein!
ATKMSG_M_598={0x0101,0x0000} setzt[0x000A]Mystowellen ein!
ATKMSG_Y_598={0x0101,0x0000} (wild) setzt[0x000A]Mystowellen ein!
ATKMSG_E_598={0x0101,0x0000} (Gegner) setzt[0x000A]Mystowellen ein!
ATKMSG_N_598={0x0101,0x0000} (Herrscher) setzt[0x000A]Mystowellen ein!
ATKMSG_M_599={0x0101,0x0000} setzt[0x000A]Giftfalle ein!
ATKMSG_Y_599={0x0101,0x0000} (wild) setzt[0x000A]Giftfalle ein!
ATKMSG_E_599={0x0101,0x0000} (Gegner) setzt[0x000A]Giftfalle ein!
ATKMSG_N_599={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftfalle ein!
ATKMSG_M_600={0x0101,0x0000} setzt[0x000A]Pulverschleuder ein!
ATKMSG_Y_600={0x0101,0x0000} (wild) setzt[0x000A]Pulverschleuder ein!
ATKMSG_E_600={0x0101,0x0000} (Gegner) setzt[0x000A]Pulverschleuder ein!
ATKMSG_N_600={0x0101,0x0000} (Herrscher) setzt[0x000A]Pulverschleuder ein!
ATKMSG_M_601={0x0101,0x0000} setzt[0x000A]Geokontrolle ein!
ATKMSG_Y_601={0x0101,0x0000} (wild) setzt[0x000A]Geokontrolle ein!
ATKMSG_E_601={0x0101,0x0000} (Gegner) setzt[0x000A]Geokontrolle ein!
ATKMSG_N_601={0x0101,0x0000} (Herrscher) setzt[0x000A]Geokontrolle ein!
ATKMSG_M_602={0x0101,0x0000} setzt[0x000A]Magnetregler ein!
ATKMSG_Y_602={0x0101,0x0000} (wild) setzt[0x000A]Magnetregler ein!
ATKMSG_E_602={0x0101,0x0000} (Gegner) setzt[0x000A]Magnetregler ein!
ATKMSG_N_602={0x0101,0x0000} (Herrscher) setzt[0x000A]Magnetregler ein!
ATKMSG_M_603={0x0101,0x0000} setzt[0x000A]Goldene Zeiten ein!
ATKMSG_Y_603={0x0101,0x0000} (wild) setzt[0x000A]Goldene Zeiten ein!
ATKMSG_E_603={0x0101,0x0000} (Gegner) setzt[0x000A]Goldene Zeiten ein!
ATKMSG_N_603={0x0101,0x0000} (Herrscher) setzt[0x000A]Goldene Zeiten ein!
ATKMSG_M_604={0x0101,0x0000} setzt[0x000A]Elektrofeld ein!
ATKMSG_Y_604={0x0101,0x0000} (wild) setzt[0x000A]Elektrofeld ein!
ATKMSG_E_604={0x0101,0x0000} (Gegner) setzt[0x000A]Elektrofeld ein!
ATKMSG_N_604={0x0101,0x0000} (Herrscher) setzt[0x000A]Elektrofeld ein!
ATKMSG_M_605={0x0101,0x0000} setzt[0x000A]Zauberschein ein!
ATKMSG_Y_605={0x0101,0x0000} (wild) setzt[0x000A]Zauberschein ein!
ATKMSG_E_605={0x0101,0x0000} (Gegner) setzt[0x000A]Zauberschein ein!
ATKMSG_N_605={0x0101,0x0000} (Herrscher) setzt[0x000A]Zauberschein ein!
ATKMSG_M_606={0x0101,0x0000} setzt[0x000A]Ehrentag ein!
ATKMSG_Y_606={0x0101,0x0000} (wild) setzt[0x000A]Ehrentag ein!
ATKMSG_E_606={0x0101,0x0000} (Gegner) setzt[0x000A]Ehrentag ein!
ATKMSG_N_606={0x0101,0x0000} (Herrscher) setzt[0x000A]Ehrentag ein!
ATKMSG_M_607={0x0101,0x0000} setzt[0x000A]Händchenhalten ein!
ATKMSG_Y_607={0x0101,0x0000} (wild) setzt[0x000A]Händchenhalten ein!
ATKMSG_E_607={0x0101,0x0000} (Gegner) setzt[0x000A]Händchenhalten ein!
ATKMSG_N_607={0x0101,0x0000} (Herrscher) setzt[0x000A]Händchenhalten ein!
ATKMSG_M_608={0x0101,0x0000} setzt[0x000A]Kulleraugen ein!
ATKMSG_Y_608={0x0101,0x0000} (wild) setzt[0x000A]Kulleraugen ein!
ATKMSG_E_608={0x0101,0x0000} (Gegner) setzt[0x000A]Kulleraugen ein!
ATKMSG_N_608={0x0101,0x0000} (Herrscher) setzt[0x000A]Kulleraugen ein!
ATKMSG_M_609={0x0101,0x0000} setzt[0x000A]Wangenrubbler ein!
ATKMSG_Y_609={0x0101,0x0000} (wild) setzt[0x000A]Wangenrubbler ein!
ATKMSG_E_609={0x0101,0x0000} (Gegner) setzt[0x000A]Wangenrubbler ein!
ATKMSG_N_609={0x0101,0x0000} (Herrscher) setzt[0x000A]Wangenrubbler ein!
ATKMSG_M_610={0x0101,0x0000} setzt[0x000A]Zurückhaltung ein!
ATKMSG_Y_610={0x0101,0x0000} (wild) setzt[0x000A]Zurückhaltung ein!
ATKMSG_E_610={0x0101,0x0000} (Gegner) setzt[0x000A]Zurückhaltung ein!
ATKMSG_N_610={0x0101,0x0000} (Herrscher) setzt[0x000A]Zurückhaltung ein!
ATKMSG_M_611={0x0101,0x0000} setzt[0x000A]Plage ein!
ATKMSG_Y_611={0x0101,0x0000} (wild) setzt[0x000A]Plage ein!
ATKMSG_E_611={0x0101,0x0000} (Gegner) setzt[0x000A]Plage ein!
ATKMSG_N_611={0x0101,0x0000} (Herrscher) setzt[0x000A]Plage ein!
ATKMSG_M_612={0x0101,0x0000} setzt[0x000A]Steigerungshieb ein!
ATKMSG_Y_612={0x0101,0x0000} (wild) setzt[0x000A]Steigerungshieb ein!
ATKMSG_E_612={0x0101,0x0000} (Gegner) setzt[0x000A]Steigerungshieb ein!
ATKMSG_N_612={0x0101,0x0000} (Herrscher) setzt[0x000A]Steigerungshieb ein!
ATKMSG_M_613={0x0101,0x0000} setzt[0x000A]Unheilsschwingen ein!
ATKMSG_Y_613={0x0101,0x0000} (wild) setzt[0x000A]Unheilsschwingen ein!
ATKMSG_E_613={0x0101,0x0000} (Gegner) setzt[0x000A]Unheilsschwingen ein!
ATKMSG_N_613={0x0101,0x0000} (Herrscher) setzt[0x000A]Unheilsschwingen ein!
ATKMSG_M_614={0x0101,0x0000} setzt[0x000A]Tausend Pfeile ein!
ATKMSG_Y_614={0x0101,0x0000} (wild) setzt[0x000A]Tausend Pfeile ein!
ATKMSG_E_614={0x0101,0x0000} (Gegner) setzt[0x000A]Tausend Pfeile ein!
ATKMSG_N_614={0x0101,0x0000} (Herrscher) setzt[0x000A]Tausend Pfeile ein!
ATKMSG_M_615={0x0101,0x0000} setzt[0x000A]Tausend Wellen ein!
ATKMSG_Y_615={0x0101,0x0000} (wild) setzt[0x000A]Tausend Wellen ein!
ATKMSG_E_615={0x0101,0x0000} (Gegner) setzt[0x000A]Tausend Wellen ein!
ATKMSG_N_615={0x0101,0x0000} (Herrscher) setzt[0x000A]Tausend Wellen ein!
ATKMSG_M_616={0x0101,0x0000} setzt[0x000A]Bodengewalt ein!
ATKMSG_Y_616={0x0101,0x0000} (wild) setzt[0x000A]Bodengewalt ein!
ATKMSG_E_616={0x0101,0x0000} (Gegner) setzt[0x000A]Bodengewalt ein!
ATKMSG_N_616={0x0101,0x0000} (Herrscher) setzt[0x000A]Bodengewalt ein!
ATKMSG_M_617={0x0101,0x0000} setzt[0x000A]Lux Calamitatis ein!
ATKMSG_Y_617={0x0101,0x0000} (wild) setzt[0x000A]Lux Calamitatis ein!
ATKMSG_E_617={0x0101,0x0000} (Gegner) setzt[0x000A]Lux Calamitatis ein!
ATKMSG_N_617={0x0101,0x0000} (Herrscher) setzt[0x000A]Lux Calamitatis ein!
ATKMSG_M_618={0x0101,0x0000} setzt[0x000A]Ursprungswoge ein!
ATKMSG_Y_618={0x0101,0x0000} (wild) setzt[0x000A]Ursprungswoge ein!
