ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_M_587={0x0101,0x0000} setzt[0x000A]Z-Feenschloss ein!
ATKMSG_Z_Y_587={0x0101,0x0000} (wild) setzt[0x000A]Z-Feenschloss ein!
ATKMSG_Z_E_587={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feenschloss ein!
ATKMSG_Z_N_587={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feenschloss ein!
ATKMSG_Z_M_588={0x0101,0x0000} setzt[0x000A]Z-Königsschild ein!
ATKMSG_Z_Y_588={0x0101,0x0000} (wild) setzt[0x000A]Z-Königsschild ein!
ATKMSG_Z_E_588={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Königsschild ein!
ATKMSG_Z_N_588={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Königsschild ein!
ATKMSG_Z_M_589={0x0101,0x0000} setzt[0x000A]Z-Kameradschaft ein!
ATKMSG_Z_Y_589={0x0101,0x0000} (wild) setzt[0x000A]Z-Kameradschaft ein!
ATKMSG_Z_E_589={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kameradschaft ein!
ATKMSG_Z_N_589={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kameradschaft ein!
ATKMSG_Z_M_590={0x0101,0x0000} setzt[0x000A]Z-Vertrauenssache ein!
ATKMSG_Z_Y_590={0x0101,0x0000} (wild) setzt[0x000A]Z-Vertrauenssache ein!
ATKMSG_Z_E_590={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Vertrauenssache ein!
ATKMSG_Z_N_590={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Vertrauenssache ein!
ATKMSG_Z_M_591={0x0101,0x0000} setzt[0x000A]Z-Diamantsturm ein!
ATKMSG_Z_Y_591={0x0101,0x0000} (wild) setzt[0x000A]Z-Diamantsturm ein!
ATKMSG_Z_E_591={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Diamantsturm ein!
ATKMSG_Z_N_591={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Diamantsturm ein!
ATKMSG_Z_M_592={0x0101,0x0000} setzt[0x000A]Z-Dampfschwall ein!
ATKMSG_Z_Y_592={0x0101,0x0000} (wild) setzt[0x000A]Z-Dampfschwall ein!
ATKMSG_Z_E_592={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dampfschwall ein!
ATKMSG_Z_N_592={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dampfschwall ein!
ATKMSG_Z_M_593={0x0101,0x0000} setzt[0x000A]Z-Dimensionsloch ein!
ATKMSG_Z_Y_593={0x0101,0x0000} (wild) setzt[0x000A]Z-Dimensionsloch ein!
ATKMSG_Z_E_593={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dimensionsloch ein!
ATKMSG_Z_N_593={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dimensionsloch ein!
ATKMSG_Z_M_594={0x0101,0x0000} setzt[0x000A]Z-Wasser-Shuriken ein!
ATKMSG_Z_Y_594={0x0101,0x0000} (wild) setzt[0x000A]Z-Wasser-Shuriken ein!
ATKMSG_Z_E_594={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wasser-Shuriken ein!
ATKMSG_Z_N_594={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wasser-Shuriken ein!
ATKMSG_Z_M_595={0x0101,0x0000} setzt[0x000A]Z-Magieflamme ein!
ATKMSG_Z_Y_595={0x0101,0x0000} (wild) setzt[0x000A]Z-Magieflamme ein!
ATKMSG_Z_E_595={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Magieflamme ein!
ATKMSG_Z_N_595={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Magieflamme ein!
ATKMSG_Z_M_596={0x0101,0x0000} setzt[0x000A]Z-Schutzstacheln ein!
ATKMSG_Z_Y_596={0x0101,0x0000} (wild) setzt[0x000A]Z-Schutzstacheln ein!
ATKMSG_Z_E_596={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schutzstacheln ein!
ATKMSG_Z_N_596={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schutzstacheln ein!
ATKMSG_Z_M_597={0x0101,0x0000} setzt[0x000A]Z-Duftwolke ein!
ATKMSG_Z_Y_597={0x0101,0x0000} (wild) setzt[0x000A]Z-Duftwolke ein!
ATKMSG_Z_E_597={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Duftwolke ein!
ATKMSG_Z_N_597={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Duftwolke ein!
ATKMSG_Z_M_598={0x0101,0x0000} setzt[0x000A]Z-Mystowellen ein!
ATKMSG_Z_Y_598={0x0101,0x0000} (wild) setzt[0x000A]Z-Mystowellen ein!
ATKMSG_Z_E_598={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Mystowellen ein!
ATKMSG_Z_N_598={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Mystowellen ein!
ATKMSG_Z_M_599={0x0101,0x0000} setzt[0x000A]Z-Giftfalle ein!
ATKMSG_Z_Y_599={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftfalle ein!
ATKMSG_Z_E_599={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftfalle ein!
ATKMSG_Z_N_599={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftfalle ein!
ATKMSG_Z_M_600={0x0101,0x0000} setzt[0x000A]Z-Pulverschleuder ein!
ATKMSG_Z_Y_600={0x0101,0x0000} (wild) setzt[0x000A]Z-Pulverschleuder ein!
ATKMSG_Z_E_600={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Pulverschleuder ein!
ATKMSG_Z_N_600={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Pulverschleuder ein!
ATKMSG_Z_M_601={0x0101,0x0000} setzt[0x000A]Z-Geokontrolle ein!
ATKMSG_Z_Y_601={0x0101,0x0000} (wild) setzt[0x000A]Z-Geokontrolle ein!
ATKMSG_Z_E_601={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geokontrolle ein!
ATKMSG_Z_N_601={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geokontrolle ein!
ATKMSG_Z_M_602={0x0101,0x0000} setzt[0x000A]Z-Magnetregler ein!
ATKMSG_Z_Y_602={0x0101,0x0000} (wild) setzt[0x000A]Z-Magnetregler ein!
ATKMSG_Z_E_602={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Magnetregler ein!
ATKMSG_Z_N_602={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Magnetregler ein!
ATKMSG_Z_M_603={0x0101,0x0000} setzt[0x000A]Z-Goldene Zeiten ein!
ATKMSG_Z_Y_603={0x0101,0x0000} (wild) setzt[0x000A]Z-Goldene Zeiten ein!
ATKMSG_Z_E_603={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Goldene Zeiten ein!
ATKMSG_Z_N_603={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Goldene Zeiten ein!
ATKMSG_Z_M_604={0x0101,0x0000} setzt[0x000A]Z-Elektrofeld ein!
ATKMSG_Z_Y_604={0x0101,0x0000} (wild) setzt[0x000A]Z-Elektrofeld ein!
ATKMSG_Z_E_604={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Elektrofeld ein!
ATKMSG_Z_N_604={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Elektrofeld ein!
ATKMSG_Z_M_605={0x0101,0x0000} setzt[0x000A]Z-Zauberschein ein!
ATKMSG_Z_Y_605={0x0101,0x0000} (wild) setzt[0x000A]Z-Zauberschein ein!
ATKMSG_Z_E_605={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zauberschein ein!
ATKMSG_Z_N_605={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zauberschein ein!
ATKMSG_Z_M_606={0x0101,0x0000} setzt[0x000A]Z-Ehrentag ein!
ATKMSG_Z_Y_606={0x0101,0x0000} (wild) setzt[0x000A]Z-Ehrentag ein!
ATKMSG_Z_E_606={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ehrentag ein!
ATKMSG_Z_N_606={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ehrentag ein!
ATKMSG_Z_M_607={0x0101,0x0000} setzt[0x000A]Z-Händchenhalten ein!
ATKMSG_Z_Y_607={0x0101,0x0000} (wild) setzt[0x000A]Z-Händchenhalten ein!
ATKMSG_Z_E_607={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Händchenhalten ein!
ATKMSG_Z_N_607={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Händchenhalten ein!
ATKMSG_Z_M_608={0x0101,0x0000} setzt[0x000A]Z-Kulleraugen ein!
ATKMSG_Z_Y_608={0x0101,0x0000} (wild) setzt[0x000A]Z-Kulleraugen ein!
ATKMSG_Z_E_608={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kulleraugen ein!
ATKMSG_Z_N_608={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kulleraugen ein!
ATKMSG_Z_M_609={0x0101,0x0000} setzt[0x000A]Z-Wangenrubbler ein!
ATKMSG_Z_Y_609={0x0101,0x0000} (wild) setzt[0x000A]Z-Wangenrubbler ein!
ATKMSG_Z_E_609={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wangenrubbler ein!
ATKMSG_Z_N_609={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wangenrubbler ein!
ATKMSG_Z_M_610={0x0101,0x0000} setzt[0x000A]Z-Zurückhaltung ein!
ATKMSG_Z_Y_610={0x0101,0x0000} (wild) setzt[0x000A]Z-Zurückhaltung ein!
ATKMSG_Z_E_610={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zurückhaltung ein!
ATKMSG_Z_N_610={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zurückhaltung ein!
ATKMSG_Z_M_611={0x0101,0x0000} setzt[0x000A]Z-Plage ein!
ATKMSG_Z_Y_611={0x0101,0x0000} (wild) setzt[0x000A]Z-Plage ein!
ATKMSG_Z_E_611={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Plage ein!
ATKMSG_Z_N_611={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Plage ein!
ATKMSG_Z_M_612={0x0101,0x0000} setzt[0x000A]Z-Steigerungshieb ein!
ATKMSG_Z_Y_612={0x0101,0x0000} (wild) setzt[0x000A]Z-Steigerungshieb ein!
ATKMSG_Z_E_612={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Steigerungshieb ein!
ATKMSG_Z_N_612={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Steigerungshieb ein!
ATKMSG_Z_M_613={0x0101,0x0000} setzt[0x000A]Z-Unheilsschwingen ein!
ATKMSG_Z_Y_613={0x0101,0x0000} (wild) setzt[0x000A]Z-Unheilsschwingen ein!
ATKMSG_Z_E_613={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Unheilsschwingen ein!
ATKMSG_Z_N_613={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Unheilsschwingen ein!
ATKMSG_Z_M_614={0x0101,0x0000} setzt[0x000A]Z-Tausend Pfeile ein!
ATKMSG_Z_Y_614={0x0101,0x0000} (wild) setzt[0x000A]Z-Tausend Pfeile ein!
ATKMSG_Z_E_614={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tausend Pfeile ein!
ATKMSG_Z_N_614={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tausend Pfeile ein!
ATKMSG_Z_M_615={0x0101,0x0000} setzt[0x000A]Z-Tausend Wellen ein!
ATKMSG_Z_Y_615={0x0101,0x0000} (wild) setzt[0x000A]Z-Tausend Wellen ein!
ATKMSG_Z_E_615={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tausend Wellen ein!
ATKMSG_Z_N_615={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tausend Wellen ein!
ATKMSG_Z_M_616={0x0101,0x0000} setzt[0x000A]Z-Bodengewalt ein!
ATKMSG_Z_Y_616={0x0101,0x0000} (wild) setzt[0x000A]Z-Bodengewalt ein!
ATKMSG_Z_E_616={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bodengewalt ein!
ATKMSG_Z_N_616={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bodengewalt ein!
ATKMSG_Z_M_617={0x0101,0x0000} setzt[0x000A]Z-Lux Calamitatis ein!
ATKMSG_Z_Y_617={0x0101,0x0000} (wild) setzt[0x000A]Z-Lux Calamitatis ein!
ATKMSG_Z_E_617={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lux Calamitatis ein!
ATKMSG_Z_N_617={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lux Calamitatis ein!
ATKMSG_Z_M_618={0x0101,0x0000} setzt[0x000A]Z-Ursprungswoge ein!
ATKMSG_Z_Y_618={0x0101,0x0000} (wild) setzt[0x000A]Z-Ursprungswoge ein!
ATKMSG_Z_E_618={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ursprungswoge ein!
ATKMSG_Z_N_618={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ursprungswoge ein!
ATKMSG_Z_M_619={0x0101,0x0000} setzt[0x000A]Z-Abgrundsklinge ein!
ATKMSG_Z_Y_619={0x0101,0x0000} (wild) setzt[0x000A]Z-Abgrundsklinge ein!
ATKMSG_Z_E_619={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Abgrundsklinge ein!
ATKMSG_Z_N_619={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Abgrundsklinge ein!
ATKMSG_Z_M_620={0x0101,0x0000} setzt[0x000A]Z-Zenitstürmer ein!
ATKMSG_Z_Y_620={0x0101,0x0000} (wild) setzt[0x000A]Z-Zenitstürmer ein!
ATKMSG_Z_E_620={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zenitstürmer ein!
ATKMSG_Z_N_620={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zenitstürmer ein!
ATKMSG_Z_M_621={0x0101,0x0000} setzt[0x000A]Z-Dimensionswahn ein!
ATKMSG_Z_Y_621={0x0101,0x0000} (wild) setzt[0x000A]Z-Dimensionswahn ein!
ATKMSG_Z_E_621={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dimensionswahn ein!
ATKMSG_Z_N_621={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dimensionswahn ein!
ATKMSG_Z_M_622={0x0101,0x0000} setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_Y_622={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_E_622={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_N_622={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_M_623={0x0101,0x0000} setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_Y_623={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_E_623={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_N_623={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Hyper-Sprintangriff ein!
ATKMSG_Z_M_624={0x0101,0x0000} setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_Y_624={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_E_624={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_N_624={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_M_625={0x0101,0x0000} setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_Y_625={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_E_625={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_N_625={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Fulminante Faustschläge ein!
ATKMSG_Z_M_626={0x0101,0x0000} setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_Y_626={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_E_626={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_N_626={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_M_627={0x0101,0x0000} setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_Y_627={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_E_627={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_N_627={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Finaler Steilflug ein!
ATKMSG_Z_M_628={0x0101,0x0000} setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_Y_628={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_E_628={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_N_628={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_M_629={0x0101,0x0000} setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_Y_629={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_E_629={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_N_629={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Vernichtender Säureregen ein!
ATKMSG_Z_M_630={0x0101,0x0000} setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_Y_630={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_E_630={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_N_630={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_M_631={0x0101,0x0000} setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_Y_631={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_E_631={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_N_631={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Seismische Eruption ein!
ATKMSG_Z_M_632={0x0101,0x0000} setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_Y_632={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_E_632={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_N_632={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_M_633={0x0101,0x0000} setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_Y_633={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_E_633={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_N_633={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Apokalyptische Steinpresse ein!
ATKMSG_Z_M_634={0x0101,0x0000} setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_Y_634={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_E_634={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_N_634={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_M_635={0x0101,0x0000} setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_Y_635={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_E_635={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_N_635={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Wirbelnder Insektenhieb ein!
ATKMSG_Z_M_636={0x0101,0x0000} setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_Y_636={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_E_636={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_N_636={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_M_637={0x0101,0x0000} setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_Y_637={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_E_637={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_N_637={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Ewige Nacht ein!
ATKMSG_Z_M_638={0x0101,0x0000} setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_Y_638={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_E_638={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_N_638={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_M_639={0x0101,0x0000} setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_Y_639={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_E_639={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_N_639={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Turbo-Spiralkombo ein!
ATKMSG_Z_M_640={0x0101,0x0000} setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_Y_640={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_E_640={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_N_640={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_M_641={0x0101,0x0000} setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_Y_641={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_E_641={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_N_641={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Dynamische Maxiflamme ein!
ATKMSG_Z_M_642={0x0101,0x0000} setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_Y_642={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_E_642={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_N_642={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_M_643={0x0101,0x0000} setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_Y_643={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_E_643={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_N_643={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Super-Wassertornado ein!
ATKMSG_Z_M_644={0x0101,0x0000} setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_Y_644={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_E_644={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_N_644={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_M_645={0x0101,0x0000} setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_Y_645={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_E_645={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_N_645={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Brillante Blütenpracht ein!
ATKMSG_Z_M_646={0x0101,0x0000} setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_Y_646={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_E_646={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_N_646={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_M_647={0x0101,0x0000} setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_Y_647={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_E_647={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_N_647={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Gigavolt-Funkensalve ein!
ATKMSG_Z_M_648={0x0101,0x0000} setzt die Z-Attacke[0x000A]Psycho-Schmetterschlag ein!
ATKMSG_Z_Y_648={0x0101,0x0000} (wild) setzt die Z-Attacke[0x000A]Psycho-Schmetterschlag ein!
ATKMSG_Z_E_648={0x0101,0x0000} (Gegner) setzt die Z-Attacke[0x000A]Psycho-Schmetterschlag ein!
ATKMSG_Z_N_648={0x0101,0x0000} (Herrscher) setzt die Z-Attacke[0x000A]Psycho-Schmetterschlag ein!
ATKMSG_Z_M_649={0x0101,0x0000} setzt die Z-Attacke[0x000A]Psycho-Schmetterschlag ein!
